C:\Users\Администратор\Desktop\Технопласт Шкрубер\Шкрубер\Схема дискретный датчик.dwg,Модель,02.01.2022 16:59:17,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A4 (210.00 x 297.00 мм),1:2.4347,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 15:34:13,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A4 (210.00 x 297.00 мм),1:80.8461,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:41:31,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:42:59,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:45:31,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A4 (297.00 x 210.00 мм),1:95.5471,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:47:00,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:49:24,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,12.01.2022 19:50:06,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 13:03:10,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A4 (210.00 x 297.00 мм),1:95.5471,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 13:04:47,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:67.5586,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 15:10:32,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 15:12:21,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 16:42:01,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 18:15:53,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A4 (210.00 x 297.00 мм),1:86.926,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 18:42:04,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 18:52:17,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A4 (210.00 x 297.00 мм),1:86.926,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 19:00:06,Администратор,AutoCAD PDF (General Documentation).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 19:01:57,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 19:04:02,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 19:10:29,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
C:\Users\Администратор\Desktop\smartHome\Умный дом Вернадского 26\Проект.dwg,Модель,13.01.2022 19:12:32,Администратор,AutoCAD PDF (High Quality Print).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:61.4628,
